,City MPG,Class,Combination MPG,Cylinders,Displacement,Drive,Fuel Type,Highway MPG,Make,Model,Transmission,Year
86,16,standard sport utility vehicle,18,8.0,5.3,RWD,gas,23,gmc,yukon c1500 2wd,a,2015
87,16,standard sport utility vehicle,18,8.0,5.3,RWD,gas,23,gmc,yukon c1500 xl 2wd,a,2015
88,14,standard sport utility vehicle,16,8.0,6.2,4WD,gas,21,cadillac,escalade 4wd,a,2015
89,14,standard sport utility vehicle,16,8.0,6.2,4WD,gas,20,cadillac,escalade esv 4wd,a,2015
90,16,standard sport utility vehicle,18,8.0,5.3,4WD,gas,22,chevrolet,tahoe k1500 4wd,a,2015
91,15,standard sport utility vehicle,18,8.0,5.3,4WD,gas,22,chevrolet,suburban k1500 4wd,a,2015
92,14,standard sport utility vehicle,16,8.0,6.2,4WD,gas,20,gmc,yukon k1500 xl 4wd,a,2015
93,14,standard sport utility vehicle,16,8.0,6.2,4WD,gas,21,gmc,yukon k1500 4wd,a,2015
94,15,standard sport utility vehicle,18,8.0,5.3,4WD,gas,22,gmc,yukon k1500 xl 4wd,a,2015
95,16,standard sport utility vehicle,18,8.0,5.3,4WD,gas,22,gmc,yukon k1500 4wd,a,2015
96,16,two seater,18,8.0,5.0,RWD,gas,23,jaguar,f-type v8 s convertible,a,2015
97,16,two seater,18,8.0,5.0,RWD,gas,23,jaguar,f-type r coupe,a,2015
98,20,two seater,23,6.0,3.0,RWD,gas,28,jaguar,f-type convertible,a,2015
99,20,two seater,23,6.0,3.0,RWD,gas,28,jaguar,f-type coupe,a,2015
100,26,midsize car,30,4.0,2.5,FWD,gas,37,mazda,6,a,2016
101,28,midsize car,32,4.0,2.5,FWD,gas,38,mazda,6,a,2016
102,25,midsize car,29,4.0,2.5,FWD,gas,36,mazda,6,m,2016
103,18,small sport utility vehicle,21,6.0,3.3,AWD,gas,25,kia,sorento fe awd,a,2016
104,20,small sport utility vehicle,23,4.0,2.0,FWD,gas,27,kia,sorento fwd,a,2016
105,21,small sport utility vehicle,24,4.0,2.4,FWD,gas,28,kia,sorento fwd,a,2016
106,18,small sport utility vehicle,20,6.0,3.3,FWD,gas,25,kia,sorento fwd,a,2016
107,26,small sport utility vehicle,29,4.0,2.0,FWD,gas,34,mazda,cx-5 2wd,m,2016
108,26,small sport utility vehicle,29,4.0,2.5,FWD,gas,33,mazda,cx-5 2wd,a,2016
109,19,small sport utility vehicle,21,4.0,2.0,AWD,gas,25,kia,sorento awd,a,2016
110,21,small sport utility vehicle,22,4.0,2.4,AWD,gas,25,kia,sorento awd,a,2016
111,17,small sport utility vehicle,19,6.0,3.3,AWD,gas,23,kia,sorento awd,a,2016
112,24,small sport utility vehicle,26,4.0,2.5,4WD,gas,29,mazda,cx-5 4wd,a,2016
113,20,midsize car,24,6.0,3.0,AWD,gas,29,audi,a7 quattro,a,2016
114,20,midsize car,24,6.0,3.0,AWD,gas,29,audi,a6 quattro,a,2016
115,25,small sport utility vehicle,28,4.0,1.8,FWD,gas,33,honda,hr-v 2wd,m,2016
116,28,small sport utility vehicle,31,4.0,1.8,FWD,gas,34,honda,hr-v 2wd,a,2016
118,27,small sport utility vehicle,29,4.0,1.8,AWD,gas,32,honda,hr-v 4wd,a,2016
120,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type coupe,a,2016
121,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type convertible,a,2016
122,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type s coupe,a,2016
123,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type s convertible,a,2016
124,11,midsize car,14,8.0,6.8,RWD,gas,18,bentley,mulsanne,a,2016
125,28,compact car,31,4.0,1.6,FWD,gas,35,hyundai,veloster,a,2016
126,27,compact car,30,4.0,1.6,FWD,gas,34,hyundai,veloster,m,2016
127,24,midsize car,27,4.0,2.0,FWD,gas,32,hyundai,elantra gt,m,2016
129,18,two seater,21,6.0,3.0,AWD,gas,26,jaguar,f-type s awd coupe,a,2016
130,18,two seater,21,6.0,3.0,AWD,gas,26,jaguar,f-type s awd convertible,a,2016
131,25,compact car,29,4.0,2.4,FWD,gas,35,acura,ilx,a,2016
132,24,midsize car,27,4.0,2.0,FWD,gas,32,hyundai,elantra gt,a,2016
133,16,two seater,18,8.0,5.0,RWD,gas,23,jaguar,f-type r convertible,a,2016
134,15,two seater,18,8.0,5.0,AWD,gas,23,jaguar,f-type r awd coupe,a,2016
135,15,two seater,18,8.0,5.0,AWD,gas,23,jaguar,f-type r awd convertible,a,2016
136,15,large car,18,8.0,5.0,RWD,gas,23,jaguar,xj,a,2016
137,15,large car,18,8.0,5.0,RWD,gas,23,jaguar,xjl,a,2016
138,20,midsize car,23,6.0,3.5,FWD,gas,30,acura,rlx,a,2016
